sample,strategy,total_pnl,trades,win_rate,profit_factor,avg_pnl,max_drawdown,raw_5m_sharpe
TRAIN,base_30s,13293.273072240456,1400,0.9885714285714285,83.91712245658975,9.495195051600335,-0.0009319871540758307,3.1837771110238116
TRAIN,base_15s,13357.150690045582,1400,0.9921428571428571,122.18627009658498,9.54082192146114,-0.0008735227329822459,3.386723782143796
TRAIN,base_5s,13468.710350612932,1400,0.9992857142857143,1345.1826697218464,9.62050739329493,-0.0004643698496678006,3.9362418645977417
TRAIN,multi_target,13293.273072240456,1400,0.9885714285714285,83.91712245658975,9.495195051600335,-0.0009319871540758307,3.1837771110238116
TRAIN,entry_sweep,13636.192518024047,1400,1.0,inf,9.740137512874327,0.0,3.983323442015102
TRAIN,hedge,-417.4830016752476,2800,0.5,0.9702393069806637,-0.14910107202687417,-0.04171569474471204,-3.9449213011959525
TRAIN,stagger_3x,39779.24133350256,4200,0.9871428571428571,74.51822527815199,9.471247936548206,-0.001350352870716942,1.9148830249254984
TRAIN,stagger_5x,66556.03765583078,7000,0.9892857142857143,89.56425503104569,9.508005379404405,-0.0010778684875861755,1.5260814860122902
TEST,base_30s,4472.883397175592,600,0.8866666666666667,7.564640420887036,7.454805661959319,-0.0024152405259875165,1.1709378951166887
TEST,base_15s,4787.482628916994,600,0.915,10.368483873267172,7.9791377148616505,-0.0019138728907882596,1.4133842105591365
TEST,base_5s,5250.023311950035,600,0.9583333333333334,21.95817689401213,8.750038853250064,-0.001557472775227109,2.1072394189134616
TEST,multi_target,4472.883397175592,600,0.8866666666666667,7.564640420887036,7.454805661959319,-0.0024152405259875165,1.1709378951166887
TEST,entry_sweep,5519.498960204677,600,0.9733333333333334,35.428012476326565,9.199164933674457,-0.0015392006890430077,2.618323954663824
TEST,hedge,-190.7411299087289,1200,0.5,0.9682732651515754,-0.15895094159060727,-0.01905053184885941,-3.3780671603455708
TEST,stagger_3x,13390.199174182992,1800,0.8855555555555555,7.487122441613363,7.438999541212764,-0.005296244818468465,1.1324598509138948
TEST,stagger_5x,22576.63692578069,3000,0.8903333333333333,7.84850266815326,7.525545641926891,-0.008175224167780715,1.1192385202068509
