strategy,measure_sec,entry_idx,min_range,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown,avg_outcome
confirmation,150,120,0.0003,2394148.376731263,5341,0.7346938775510204,2.686217104768063,58.39606924608541,-0.10278864225455175,0.7346938775510204
chop_only,150,120,0.0003,2394148.376731263,5341,0.7346938775510204,2.686217104768063,58.39606924608541,-0.10278864225455175,0.7346938775510204
chop_only,150,150,0.0003,2392355.5901648244,5341,0.7346938775510204,2.684954431408754,58.38922114599425,-0.10281331439455998,0.7346938775510204
confirmation,150,150,0.0003,2392355.5901648244,5341,0.7346938775510204,2.684954431408754,58.38922114599425,-0.10281331439455998,0.7346938775510204
confirmation,150,180,0.0003,2389736.120595329,5341,0.7346938775510204,2.683109518855957,58.38116713827094,-0.10284865243109598,0.7346938775510204
chop_only,150,180,0.0003,2389736.120595329,5341,0.7346938775510204,2.683109518855957,58.38116713827094,-0.10284865243109598,0.7346938775510204
chop_only,150,210,0.0003,2387035.3447207,5341,0.7346938775510204,2.681207341647469,58.37175012617813,-0.10289792353568927,0.7346938775510204
confirmation,150,210,0.0003,2387035.3447207,5341,0.7346938775510204,2.681207341647469,58.37175012617813,-0.10289792353568927,0.7346938775510204
all_patterns,150,120,0.0003,2312088.060586115,4786,0.7524028416213957,2.947234695660249,60.07935838278414,-0.09929087026078787,0.7524028416213957
all_patterns,150,120,0.0004,2312088.060586115,4786,0.7524028416213957,2.947234695660249,60.07935838278414,-0.09929087026078787,0.7524028416213957
all_patterns,150,120,0.0005,2312088.060586115,4786,0.7524028416213957,2.947234695660249,60.07935838278414,-0.09929087026078787,0.7524028416213957
all_patterns,150,120,0.0006,2312088.060586115,4786,0.7524028416213957,2.947234695660249,60.07935838278414,-0.09929087026078787,0.7524028416213957
all_patterns,150,150,0.0003,2310278.978586363,4786,0.7524028416213957,2.945711091392201,60.073069614858156,-0.09931375131121556,0.7524028416213957
all_patterns,150,150,0.0004,2310278.978586363,4786,0.7524028416213957,2.945711091392201,60.073069614858156,-0.09931375131121556,0.7524028416213957
all_patterns,150,150,0.0005,2310278.978586363,4786,0.7524028416213957,2.945711091392201,60.073069614858156,-0.09931375131121556,0.7524028416213957
all_patterns,150,150,0.0006,2310278.978586363,4786,0.7524028416213957,2.945711091392201,60.073069614858156,-0.09931375131121556,0.7524028416213957
all_patterns,150,180,0.0003,2307772.7025288027,4786,0.7524028416213957,2.943600312058419,60.06717224873886,-0.09934754372931154,0.7524028416213957
all_patterns,150,180,0.0004,2307772.7025288027,4786,0.7524028416213957,2.943600312058419,60.06717224873886,-0.09934754372931154,0.7524028416213957
all_patterns,150,180,0.0005,2307772.7025288027,4786,0.7524028416213957,2.943600312058419,60.06717224873886,-0.09934754372931154,0.7524028416213957
all_patterns,150,180,0.0006,2307772.7025288027,4786,0.7524028416213957,2.943600312058419,60.06717224873886,-0.09934754372931154,0.7524028416213957
all_patterns,150,210,0.0003,2305153.937582171,4786,0.7524028416213957,2.9413947948677874,60.059794655510295,-0.09939339393736235,0.7524028416213957
all_patterns,150,210,0.0004,2305153.937582171,4786,0.7524028416213957,2.9413947948677874,60.059794655510295,-0.09939339393736235,0.7524028416213957
all_patterns,150,210,0.0005,2305153.937582171,4786,0.7524028416213957,2.9413947948677874,60.059794655510295,-0.09939339393736235,0.7524028416213957
all_patterns,150,210,0.0006,2305153.937582171,4786,0.7524028416213957,2.9413947948677874,60.059794655510295,-0.09939339393736235,0.7524028416213957
confirmation,150,120,0.0004,2263299.8880239627,4888,0.7422258592471358,2.7926843836327,60.47993544099055,-0.07081397031400538,0.7422258592471358
chop_only,150,120,0.0004,2263299.8880239627,4888,0.7422258592471358,2.7926843836327,60.47993544099055,-0.07081397031400538,0.7422258592471358
chop_only,150,150,0.0004,2261527.061827157,4888,0.7422258592471358,2.7912801871076525,60.47346258720956,-0.07083117716789711,0.7422258592471358
confirmation,150,150,0.0004,2261527.061827157,4888,0.7422258592471358,2.7912801871076525,60.47346258720956,-0.07083117716789711,0.7422258592471358
