sample,threshold,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown
TRAIN,0.5,803500.6315484616,1122,0.7174688057040999,2.6299883947362734,39.35215546973913,-0.2863180858077774
TRAIN,0.52,757488.5976010195,1030,0.7194174757281553,2.680269225916635,36.19038624941847,-0.30771074079698923
TRAIN,0.54,692189.6363226391,876,0.7248858447488584,2.7769804575149832,36.506271319954934,-0.19883083207401175
TRAIN,0.56,656877.5594490384,769,0.7373211963589077,2.932891649674074,36.115212138738904,-0.19420496080464877
TRAIN,0.58,637789.9544406276,710,0.7492957746478873,3.081342707391123,35.9748564400081,-0.18913853036677486
TRAIN,0.6,622618.4797225794,688,0.7543604651162791,3.1584362462878457,36.3461615228154,-0.1835654568851136
TRAIN,0.62,604193.6345915498,667,0.7586206896551724,3.2281395321423627,36.59547344023703,-0.1774057440895933
TRAIN,0.64,587330.2154708499,642,0.7679127725856698,3.3549333416718556,37.178800361851664,-0.17056161876123732
TRAIN,0.66,558204.8461131296,619,0.7689822294022617,3.3948336034249613,37.69257352684868,-0.16291230221778064
TRAIN,0.68,523680.8185976469,588,0.7704081632653061,3.444360960445239,38.249380368249675,-0.15430682110639193
TRAIN,0.7,495096.820389484,562,0.7775800711743772,3.5658664127633717,39.185105796045626,-0.14455394251348475
TRAIN,0.72,472168.8913538579,551,0.7876588021778584,3.731304011995864,40.71614538162477,-0.13340779555016236
TRAIN,0.74,431476.29478703963,531,0.7909604519774012,3.809136710217625,41.993985909218424,-0.12054685674632859
TRAIN,0.76,366448.7095311531,465,0.8,4.00735181815183,43.14083483671171,-0.10554242814185599
TRAIN,0.78,262359.41267517273,314,0.8248407643312102,4.5794174355016475,49.7974411098647,-0.03725433064211192
TRAIN,0.8,164611.22484131367,201,0.8208955223880597,4.46021217235142,41.19977896338875,-0.07506400661299562
