strategy,range_seconds,max_entry_price,test_pnl,test_trades,test_wr,test_sharpe,test_profit_factor,test_max_dd,momentum_threshold,min_seconds_left,spike_threshold,confirmation_seconds
late_momentum,,,502.4956978956325,73,0.863013698630137,47.29633587656953,6.014927124706905,-0.0009933886406293668,0.0008,40.0,,
late_momentum,,,616.6781864067871,95,0.8421052631578947,50.84166277030978,5.1029819454876035,-0.001944595789722836,0.0008,50.0,,
late_momentum,,,329.41489729715613,53,0.8301886792452831,36.23400574354672,4.652859805912124,-0.0029965604476872576,0.0008,30.0,,
volume_spike,,,609.8617411743962,112,0.7857142857142857,45.758144536965034,3.5360185511244016,-0.0030352893996374863,,,0.0008,3.0
late_momentum,,,196.3832820875832,37,0.7837837837837838,25.73272031574446,3.4498912436075657,-0.002977859073924005,0.0008,20.0,,
late_momentum,,,1273.9574883577516,239,0.7824267782426778,65.94408964482928,3.445028190460908,-0.002234559447968021,0.0005,40.0,,
late_momentum,,,693.3805914130771,132,0.7803030303030303,48.247915443371525,3.3861951662642897,-0.0031571151875453562,0.0005,20.0,,
late_momentum,,,977.8527965110789,186,0.7795698924731183,57.39676585285254,3.380246328102523,-0.0029827800683958072,0.0005,30.0,,
volume_spike,,,322.677644120633,62,0.7741935483870968,32.485369166719934,3.3002398354764284,-0.003921793152141362,,,0.001,3.0
volume_spike,,,570.644607710441,110,0.7727272727272727,43.159030703446554,3.2780223860696243,-0.003044313836541801,,,0.0008,5.0
volume_spike,,,541.0956086300248,109,0.7614678899082569,41.05086661026005,3.07698299028875,-0.003947655006132589,,,0.0008,10.0
volume_spike,,,284.16728466519817,58,0.7586206896551724,29.5294370086028,3.0257148892586185,-0.003929272916862736,,,0.001,5.0
late_momentum,,,1376.8830600644742,288,0.7534722222222222,64.38888171142257,2.935401113357052,-0.004780046376886338,0.0005,50.0,,
late_momentum,,,1587.049268259525,386,0.7202072538860104,63.872438380206034,2.466556949304653,-0.006870761929589686,0.0003,20.0,,
volume_spike,,,216.0535735763915,55,0.7090909090909091,22.965556732848274,2.347639555740968,-0.0029610687680132752,,,0.001,10.0
volume_spike,,,1369.547012452671,361,0.7008310249307479,57.37835784404061,2.2655679497049146,-0.0037622265372144748,,,0.0005,10.0
opening_breakout,60.0,0.65,6372.347416993387,1711,0.6960841613091759,127.62353302475996,2.2230054155138688,-0.004765725260795106,,,,
opening_breakout,60.0,0.7,6372.347416993387,1711,0.6960841613091759,127.62353302475996,2.2230054155138688,-0.004765725260795106,,,,
opening_breakout,60.0,0.6,6372.347416993387,1711,0.6960841613091759,127.62353302475996,2.2230054155138688,-0.004765725260795106,,,,
