strategy,slippage_cents,pnl,trades,win_rate,max_drawdown
opening_breakout,0.0,5314.326715578434,1764,0.6598639455782312,-0.007850504008516501
late_momentum,0.0,1795.4690816646216,505,0.691089108910891,-0.007922571908698828
volume_spike,0.0,1366.1575045335776,385,0.6883116883116883,-0.007401414719219179
mean_reversion,0.0,-1840.7495294341024,243,0.12345679012345678,-0.18325657603259482
opening_breakout,0.1,5268.91989351825,1764,0.6598639455782312,-0.007886825416281829
late_momentum,0.1,1782.0014078377062,505,0.691089108910891,-0.007939865331724971
volume_spike,0.1,1355.8595428616372,385,0.6883116883116883,-0.007427548149964047
mean_reversion,0.1,-1841.9261109287654,243,0.12345679012345678,-0.18337435219377463
opening_breakout,0.2,5223.692084184531,1764,0.6598639455782312,-0.007923093963141281
late_momentum,0.2,1768.5865462576967,505,0.691089108910891,-0.007957103139074051
volume_spike,0.2,1345.6021029152653,385,0.6883116883116883,-0.007453615030134975
mean_reversion,0.2,-1843.0980414065507,243,0.12345679012345678,-0.18349166278676743
opening_breakout,0.3,5178.642231044689,1764,0.6598639455782312,-0.007959309764460465
late_momentum,0.3,1755.2241868741294,505,0.691089108910891,-0.007974285598249864
volume_spike,0.3,1335.384945987973,385,0.6883116883116883,-0.007479615613510071
mean_reversion,0.3,-1844.2653483912263,243,0.12345679012345678,-0.18360851056671046
opening_breakout,0.5,5089.072208624466,1764,0.6598639455782312,-0.008031583590258906
late_momentum,0.5,1728.65574658255,505,0.691089108910891,-0.008008485533559817
volume_spike,0.5,1315.0705357025436,385,0.6883116883116883,-0.007531418898553355
mean_reversion,0.5,-1846.5862008947151,243,0.12345679012345678,-0.1838408285997284
