strategy,total_pnl,final_equity,sharpe_ann,max_drawdown,win_rate,profit_factor,avg_profit_per_trade,trades,signals,fills,rating
08 Opening Range Breakout,1896114.93276034,1906114.93276034,58.71818580407339,-0.07711432511660421,0.721761834487456,2.5279341081416193,215.24746654107616,8809,8809,8809,A - promising
10 Volume Weighted Momentum,1064207.045577463,1074207.045577463,54.49122042245463,-0.11380103464583591,0.7851347814708192,3.5596938226396038,278.51532205638915,3821,3821,3821,A - promising
09 Renko Change Sequencing,962289.907361886,972289.907361886,71.35247046828071,-0.015584687159576616,0.9343680709534368,13.821573353187418,426.73610082567006,2255,2255,2255,A - promising
06 Double MA Crossover,849107.9643221757,859107.9643221757,39.22645527054174,-0.21030120753650294,0.6012050881499665,1.4707128246892796,94.7453653561901,8962,8962,8962,A - promising
02 Composite Technical Score,515759.3343497296,525759.3343497296,42.84557734181251,-0.2811338337146696,0.5639645700190604,1.2621963167153591,57.82703602979365,8919,8919,8919,B - workable
03 Oracle Lag Arbitrage,59054.15249376418,69054.15249376418,29.39830316953776,-0.030088288168340638,0.8805031446540881,7.1264879661562315,371.4097641117244,159,159,159,A - promising
12 Creative Wick Reclaim Fade,2328.309328940377,12328.309328940377,3.2369345573541897,-0.1845180740658755,0.5862068965517241,1.3837094980562363,80.28652858415093,29,29,29,A - promising
11 Creative Late Shock Continuation,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,D - too few trades
01 End-of-Window Momentum Sniper,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,D - too few trades
04 Volatility Spike Reversal,-2766.3009092314423,7233.699090768558,-54.6392392911191,-0.2766300909231443,0.0,0.0,-10.933995688661827,253,310,253,F - avoid
05 Market Making & Spread Capture,-4280.306604794888,5719.693395205112,-73.60128971635639,-0.4280306604794888,0.0,0.0,-9.469704877864796,452,452,908,F - avoid
13 Creative Chop Box Contrarian,-8217.648099778598,1782.3519002214016,-4.26672602534405,-0.8495699030827475,0.4418604651162791,0.7733109202365397,-63.70269844789611,129,129,129,F - avoid
14 Creative Settlement Gravity,-137583.0016784309,-127583.00167843091,-59.080915865208794,-13.75830016784309,0.21875,0.274007598560316,-143.31562674836553,960,960,960,F - avoid
07 RSI + Bollinger Reversion,-585388.4304130534,-575388.4304130534,-125.37258424068354,-61.52711598706254,0.0,0.0,-493.1663272224544,1187,5889,1187,F - avoid
