strategy,period,total_pnl,trades,win_rate,avg_pnl,profit_factor,max_drawdown,sharpe,avg_hold_seconds,avg_entry_price
opening_breakout,Period_2,3655.761409156772,2194,0.5916134913400183,1.6662540606913199,1.407194696450487,-0.02034884079699606,55.93779977284415,231.9876937101185,0.505198208748826
late_momentum,Period_2,1996.7116829634251,597,0.6800670016750419,3.344575683355815,2.04331216256671,-0.0059209360213491324,58.264355219920674,20.725293132328307,0.5061302093145582
volume_spike,Period_2,1480.678002368837,606,0.6320132013201321,2.4433630402125948,1.6626558552709971,-0.010854911633572883,41.766025351874,161.09405940594058,0.5057109516484997
mean_reversion,Period_2,-1386.9812576640234,174,0.10344827586206896,-7.971156653241526,0.11268408205126533,-0.1386981257664024,-73.41218747252478,211.8505747126437,0.5038443829108374
opening_breakout,Period_3,7056.2290641915715,2201,0.6696955929123126,3.205919611172964,1.9686581533208267,-0.007859037652167111,110.94937272260668,237.83189459336666,0.5053035653071555
late_momentum,Period_3,1884.818112715624,690,0.6492753623188405,2.731620453211045,1.777295868063716,-0.00556104571281002,51.29316357036476,20.22463768115942,0.506138825642411
volume_spike,Period_3,1993.2522071288186,531,0.6986817325800376,3.7537706348941917,2.2432960373807482,-0.010418026931683921,61.41271599718357,162.86064030131826,0.5058634938852213
mean_reversion,Period_3,-2578.7878354888708,370,0.15405405405405406,-6.969696852672636,0.17775062160379684,-0.25713443225000154,-94.70744059585766,216.42162162162163,0.5039175936372965
opening_breakout,Period_4,6681.465960641719,2207,0.6606252831898505,3.0273973541648536,1.8902709881494464,-0.007034351259002647,102.72838165222676,235.8740371545084,0.5052772361029358
late_momentum,Period_4,2302.311019441526,625,0.6976,3.683697631106438,2.2157225334735418,-0.007554487721897818,65.48715016768232,20.1136,0.5063894537702596
volume_spike,Period_4,1767.1537728994426,463,0.7019438444924406,3.816746809718012,2.2779902317824057,-0.007143512855268819,58.85565299443618,154.66306695464363,0.5058822090120333
mean_reversion,Period_4,-2364.673683445875,319,0.13166144200626959,-7.412770167541939,0.1480311278360683,-0.23646736834458748,-94.54140492863866,216.9498432601881,0.5038684427270848
